EmpID,Gender,Age,MaritalStatus,JobLevel,Experience,Dept,EmpType,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteMode,CommuteDistance,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction
6,Male,32,Married,Mid,7,IT,Full-Time,1,1,2.5,2,1,7.6,Car,20,3,12,0,Bachelor,TRUE,33.5,5
11,Female,34,Married,Mid,12,Finance,Full-Time,1,1,1.8,2,2,7.9,Car,15,4,11,0,Bachelor,FALSE,36,5
33,Female,23,Single,Intern/Fresher,1,Marketing,Full-Time,2,4,2.1,5,4,6.5,Motorbike,17,0,30,0,Bachelor,TRUE,10.5,5
20,Female,29,Married,Junior,6,IT,Contract,2,2,1.9,3,1,7.5,Public Transport,13,2,9,0,Bachelor,TRUE,23,5
28,Other,23,Single,Junior,1,Sales,Part-Time,3,1,3.7,2,1,4.9,Car,20,0,7,0,Bachelor,FALSE,20.5,5
45,Female,33,Married,Mid,10,Operations,Part-Time,2,3,1.4,4,2,6.2,Car,8,3,13,0,Bachelor,FALSE,35,5
21,Female,26,Single,Junior,4,Sales,Full-Time,2,2,1.8,1,1,5.8,Car,29,1,8,0,Bachelor,TRUE,22,5
44,Male,24,Single,Junior,2,IT,Full-Time,1,3,1.8,4,2,5.7,Car,29,0,10,0,Bachelor,TRUE,21,5
7,Female,29,Married,Junior,7,Marketing,Full-Time,4,3,1.6,1,1,8.2,Car,13,2,8,0,Bachelor,FALSE,23.5,5
15,Female,24,Single,Mid,2,Marketing,Part-Time,5,5,0.5,4,2,8.5,Bike,9,0,10,0,Bachelor,FALSE,31,5
18,Male,40,Single,Mid,14,Customer Service,Full-Time,5,5,0.8,2,1,6.3,Car,8,6,11,0,Bachelor,FALSE,37,5
32,Male,30,Single,Senior,8,Legal,Full-Time,5,5,2.5,2,1,6.3,Public Transport,19,2,18,2,Bachelor,FALSE,44,5
59,Female,29,Single,Junior,7,Legal,Full-Time,5,3,2.1,1,1,6.2,Public Transport,20,2,7,0,Bachelor,FALSE,23.5,5
108,Female,35,Married,Senior,12,Finance,Full-Time,5,3,2,1,1,6.8,Public Transport,11,4,21,2,Bachelor,FALSE,46,5
147,Female,29,Single,Mid,7,Finance,Part-Time,4,5,2.7,2,2,8.1,Public Transport,25,2,14,0,Bachelor,FALSE,33.5,5
151,Male,28,Married,Senior,6,Sales,Full-Time,4,5,1.8,1,3,8.3,Bike,3,2,16,7,Bachelor,FALSE,43,5
173,Female,26,Single,Mid,4,Sales,Part-Time,5,5,2.3,2,3,7.8,Walk,2,1,15,0,Bachelor,FALSE,32,5
185,Male,30,Married,Mid,8,Finance,Part-Time,5,4,2.2,1,1,5.9,Walk,2,2,12,0,Bachelor,FALSE,34,5
218,Female,45,Single,Mid,9,Operations,Full-Time,5,5,2.1,2,1,6.8,Car,8,7,12,0,Bachelor,FALSE,34.5,5
323,Male,28,Single,Junior,6,Operations,Full-Time,5,5,2.2,1,1,8,Bike,4,2,7,0,Bachelor,FALSE,23,5
338,Male,27,Single,Junior,2,Operations,Full-Time,4,4,2.3,1,1,7.8,Public Transport,20,1,7,0,Bachelor,FALSE,21,5
367,Male,49,Married,Mid,3,Finance,Full-Time,4,4,2.6,2,1,10,Bike,2,9,12,0,Bachelor,FALSE,31.5,5
387,Male,30,Married,Mid,8,Operations,Full-Time,4,5,0.2,1,1,6.3,Car,11,2,12,0,Bachelor,FALSE,34,5
398,Female,24,Single,Junior,1,Finance,Full-Time,5,5,0,4,1,8.9,Walk,2,0,9,0,Bachelor,FALSE,20.5,5
406,Male,31,Married,Mid,9,IT,Full-Time,5,4,2.5,1,1,6.2,Public Transport,16,3,13,0,Bachelor,FALSE,34.5,5
427,Female,45,Married,Mid,23,Legal,Full-Time,5,5,1.2,4,1,7.2,Car,29,7,13,0,Bachelor,FALSE,41.5,5
474,Female,49,Divorced,Mid,18,Finance,Full-Time,5,5,2.3,2,2,6.5,Bike,7,9,13,0,Bachelor,FALSE,39,5
548,Female,31,Single,Senior,9,Marketing,Part-Time,5,3,0.4,1,1,6.8,Public Transport,17,3,24,6,Bachelor,FALSE,44.5,5
551,Female,27,Married,Junior,5,Legal,Part-Time,5,4,2,4,1,8.7,Walk,2,1,10,0,Bachelor,FALSE,22.5,5
568,Female,24,Married,Junior,2,Finance,Full-Time,5,2,3.2,2,1,9,Car,24,0,8,0,Bachelor,FALSE,21,5
603,Male,56,Married,Senior,14,Finance,Full-Time,5,4,2.1,1,1,5.4,Car,10,11,18,1,Bachelor,FALSE,47,5
638,Female,48,Divorced,Senior,26,Marketing,Part-Time,4,5,2.1,2,2,7.2,Car,27,8,24,7,Bachelor,FALSE,53,5
659,Male,22,Single,Intern/Fresher,0,Operations,Full-Time,5,3,1.5,2,1,7.8,Walk,1,0,26,0,Bachelor,FALSE,10,5
739,Male,35,Married,Senior,4,IT,Full-Time,5,4,2.7,1,1,7.9,Car,21,4,24,1,Bachelor,TRUE,42,5
810,Male,22,Single,Intern/Fresher,0,Legal,Part-Time,5,4,2.1,2,2,9.5,Bike,7,0,23,0,Bachelor,FALSE,10,5
905,Male,25,Single,Junior,3,Finance,Full-Time,5,5,0.9,3,1,7.4,Walk,1,1,8,0,Bachelor,FALSE,21.5,5
920,Male,24,Single,Junior,2,Finance,Part-Time,5,5,4.6,1,3,8,Public Transport,6,0,5,0,Bachelor,FALSE,21,5
932,Male,26,Single,Junior,4,IT,Part-Time,5,5,1.6,2,1,7.3,Bike,1,1,9,0,Bachelor,TRUE,22,5
937,Female,31,Single,Senior,2,Marketing,Part-Time,5,4,2.6,3,1,7.1,Public Transport,18,3,19,7,Bachelor,FALSE,41,5
972,Female,30,Single,Senior,5,Finance,Full-Time,4,4,2.5,1,1,7.3,Car,23,2,23,4,Bachelor,FALSE,42.5,5
1035,Male,29,Single,Mid,3,IT,Part-Time,5,5,2.4,1,1,7.1,Car,10,2,12,0,Bachelor,FALSE,31.5,5
1081,Female,23,Single,Junior,1,Operations,Full-Time,4,5,2.6,2,1,7.8,Motorbike,23,0,9,0,Bachelor,FALSE,20.5,5
1091,Male,37,Married,Senior,11,HR,Full-Time,4,5,4.1,1,1,6.9,Public Transport,5,5,23,4,Bachelor,FALSE,45.5,5
